# lon lat uLOS sigLOS losE losN losU
85.22875000 27.96125000 0.20887827 0.05546120 0.68088000 -0.11899000 0.72266000
85.26042000 27.96125000 0.15541817 0.05628392 0.67857000 -0.11876000 0.72487000
85.26042000 27.93625000 0.30936984 0.05277029 0.67784000 -0.11866000 0.72557000
85.29292000 27.93625000 0.26305017 0.05291843 0.67569000 -0.11848000 0.72760000
85.29292000 27.96125000 0.11628917 0.06940730 0.67626000 -0.11854000 0.72706000
85.32458000 27.96125000 0.07328490 0.05774521 0.67391000 -0.11830000 0.72929000
85.32458000 27.93625000 0.22401517 0.06144949 0.67343000 -0.11826000 0.72973000
85.29292000 27.98708300 -0.08837566 0.06527652 0.67700000 -0.11862000 0.72636000
85.29292000 28.01208300 -0.29175619 0.07795143 0.67716000 -0.11860000 0.72621000
85.32458000 28.01208300 -0.34134302 0.06746406 0.67536000 -0.11847000 0.72791000
85.32458000 27.98708300 -0.14576143 0.07652438 0.67509000 -0.11845000 0.72816000
85.35625000 27.98708300 -0.16650229 0.07613418 0.67236000 -0.11816000 0.73073000
85.35625000 28.01208300 -0.40954211 0.08629855 0.67344000 -0.11830000 0.72971000
85.38792000 28.01208300 -0.46050098 0.05358532 0.67095000 -0.11804000 0.73204000
85.38792000 27.98708300 -0.25505336 0.06183300 0.67029000 -0.11797000 0.73266000
85.35625000 27.93625000 0.16884274 0.06394868 0.67127000 -0.11805000 0.73175000
85.35625000 27.96125000 0.00835333 0.06213248 0.67192000 -0.11811000 0.73114000
85.38792000 27.96125000 -0.05644149 0.07518298 0.66932000 -0.11785000 0.73356000
85.38792000 27.93625000 0.11759273 0.06612386 0.66873000 -0.11779000 0.73411000
85.29292000 28.03791700 -0.49229346 0.06517550 0.67791000 -0.11870000 0.72550000
85.29292000 28.06291700 -0.60651196 0.03644325 0.67891000 -0.11883000 0.72454000
85.32458000 28.06291700 -0.63635034 0.03491730 0.67628000 -0.11854000 0.72705000
85.32375000 28.03708300 -0.51508392 0.05848664 0.67552000 -0.11845000 0.72776000
85.30875000 28.10041700 -0.68822510 0.02943840 0.67752000 -0.11860000 0.72588000
85.37208000 28.09958300 -0.72092883 0.02048817 0.67380000 -0.11831000 0.72938000
85.37208000 28.05041700 -0.62341791 0.05996395 0.67318000 -0.11829000 0.72995000
85.46792000 28.07541700 -0.65355231 0.04985250 0.66678000 -0.11765000 0.73591000
85.42042000 27.93625000 0.03845367 0.07759050 0.66674000 -0.11760000 0.73595000
85.42042000 27.96125000 -0.12623918 0.06397379 0.66701000 -0.11760000 0.73571000
85.45208000 27.96125000 -0.20357953 0.04780051 0.66539000 -0.11751000 0.73719000
85.45208000 27.93625000 -0.03150524 0.08728033 0.66447000 -0.11739000 0.73804000
85.42042000 27.98708300 -0.32387662 0.06190919 0.66802000 -0.11775000 0.73477000
85.42042000 28.01208300 -0.50027814 0.06339167 0.66838000 -0.11778000 0.73444000
85.45208000 28.01208300 -0.50686822 0.04904315 0.66579000 -0.11749000 0.73684000
85.45208000 27.98708300 -0.34867090 0.06849065 0.66519000 -0.11743000 0.73738000
85.48375000 27.98708300 -0.39545938 0.05412213 0.66368000 -0.11732000 0.73876000
85.48375000 28.01208300 -0.52774091 0.05884249 0.66394000 -0.11735000 0.73852000
85.51542000 28.01208300 -0.46891757 0.03038950 0.66134000 -0.11706000 0.74090000
85.51542000 27.98625000 -0.36008533 0.04139914 0.66061000 -0.11697000 0.74156000
85.48375000 27.93625000 -0.09260475 0.06044651 0.66246000 -0.11720000 0.73987000
85.48375000 27.96125000 -0.23698099 0.05543701 0.66316000 -0.11728000 0.73923000
85.51542000 27.96125000 -0.25283432 0.03718007 0.66040000 -0.11697000 0.74175000
85.51542000 27.93625000 -0.15887994 0.06241423 0.65959000 -0.11688000 0.74248000
85.29292000 27.73291700 0.76189111 0.04035494 0.67295000 -0.11833000 0.73016000
85.29292000 27.75791700 0.88701422 0.02539201 0.67331000 -0.11837000 0.72983000
85.32458000 27.75791700 0.91988049 0.02339922 0.67100000 -0.11811000 0.73199000
85.32458000 27.73291700 0.82588617 0.04791102 0.67064000 -0.11809000 0.73232000
85.30875000 27.79625000 0.88091754 0.05785895 0.67291000 -0.11831000 0.73020000
85.35625000 27.78375000 0.94722852 0.02247368 0.66912000 -0.11794000 0.73374000
85.35625000 27.80875000 0.82648614 0.03182446 0.66996000 -0.11803000 0.73296000
85.38792000 27.80875000 0.83921790 0.04847903 0.66782000 -0.11783000 0.73494000
85.38792000 27.78375000 0.94899335 0.03046909 0.66723000 -0.11777000 0.73548000
85.37208000 27.74541700 0.95266772 0.04903808 0.66737000 -0.11777000 0.73535000
85.30875000 27.84708300 0.67907440 0.04571951 0.67318000 -0.11827000 0.72996000
85.29292000 27.88541700 0.50207904 0.06687447 0.67495000 -0.11844000 0.72830000
85.29292000 27.91041700 0.41157752 0.02656518 0.67513000 -0.11842000 0.72813000
85.32458000 27.91041700 0.35649966 0.04095363 0.67291000 -0.11821000 0.73022000
85.32458000 27.88541700 0.47266574 0.06745071 0.67295000 -0.11827000 0.73017000
85.35625000 27.88541700 0.44639920 0.08102364 0.67068000 -0.11803000 0.73229000
85.35625000 27.91041700 0.30711404 0.04381966 0.67082000 -0.11801000 0.73217000
85.38792000 27.91041700 0.25847668 0.03821907 0.66859000 -0.11780000 0.73424000
85.38792000 27.88541700 0.41360638 0.07116124 0.66837000 -0.11779000 0.73444000
85.35625000 27.83458300 0.72161499 0.04845872 0.66998000 -0.11799000 0.73295000
85.35625000 27.85958300 0.62054248 0.02874646 0.66988000 -0.11792000 0.73304000
85.38792000 27.85958300 0.60296588 0.04229760 0.66758000 -0.11771000 0.73518000
85.38792000 27.83458300 0.72345843 0.04718827 0.66770000 -0.11776000 0.73506000
85.42042000 27.83458300 0.73559137 0.05589078 0.66517000 -0.11751000 0.73739000
85.42042000 27.85958300 0.58771417 0.06620402 0.66552000 -0.11753000 0.73707000
85.45208000 27.85958300 0.56052948 0.06901982 0.66336000 -0.11732000 0.73905000
85.45208000 27.83458300 0.73353503 0.06405477 0.66307000 -0.11731000 0.73931000
85.42042000 27.88541700 0.38823569 0.07086676 0.66602000 -0.11756000 0.73661000
85.42042000 27.90958300 0.22344286 0.05125339 0.66611000 -0.11755000 0.73653000
85.45208000 27.91041700 0.16272955 0.07977008 0.66390000 -0.11733000 0.73856000
85.45208000 27.88541700 0.33872256 0.07125151 0.66394000 -0.11738000 0.73852000
85.48375000 27.88541700 0.27248019 0.07697510 0.66146000 -0.11711000 0.74078000
85.48375000 27.91041700 0.06491273 0.05610757 0.66202000 -0.11717000 0.74028000
85.51542000 27.91041700 -0.01211329 0.04737333 0.65929000 -0.11686000 0.74275000
85.51542000 27.88541700 0.18890701 0.10034880 0.65860000 -0.11678000 0.74337000
85.48375000 27.83458300 0.72468854 0.09000239 0.66036000 -0.11699000 0.74178000
85.48375000 27.85958300 0.53037152 0.08744403 0.66082000 -0.11703000 0.74137000
85.51542000 27.85958300 0.42318280 0.08839213 0.65823000 -0.11675000 0.74371000
85.51542000 27.83458300 0.66482373 0.08822968 0.65821000 -0.11678000 0.74372000
85.46792000 27.77041700 0.99690185 0.06029931 0.66099000 -0.11712000 0.74120000
85.56375000 27.74541700 1.07361414 0.01743922 0.65249000 -0.11617000 0.74884000
85.54792000 27.78375000 1.00175238 0.05367040 0.65432000 -0.11636000 0.74721000
85.54792000 27.80875000 0.83739984 0.07884767 0.65492000 -0.11641000 0.74668000
85.57958000 27.80875000 0.76809473 0.09616074 0.65220000 -0.11610000 0.74910000
85.57958000 27.78375000 0.96243042 0.06385849 0.65181000 -0.11607000 0.74945000
85.61125000 27.78375000 0.88466925 0.08954089 0.64961000 -0.11586000 0.75138000
85.61125000 27.80875000 0.66154126 0.07726335 0.65008000 -0.11589000 0.75097000
